,,,corr,"mic,c_ksg,4","mic,c_ksg,6","mic,c_ksg,9","mic,c_ksg,13","mic,c_ksg,17","mic,c_ksg,22","mic,c_ksg,28","mic,c_ksg,35","mic,m_ross,4"
0,Life expectancy,Share of the population using at least basic sanitation,0.8654384957772685,1.149736326797309,1.0515994692256452,1.0164104615356606,0.9419960609586314,0.9100002361894012,0.8568905073896558,0.7980326836306926,0.7591769888324092,
0,Life expectancy,Share of the labor force employed in agriculture,-0.7979765927801518,0.9701737560966972,0.8814133325747655,0.7686917065893133,0.6909084106954966,0.6785709258837805,0.6768936626600107,0.6575862652767319,0.6461274983295651,
0,Life expectancy,Share of the population with access to electricity,0.8965050413964893,0.9636973924416393,0.9165616445991903,0.8969695501638026,0.8817931024727268,0.8492779720821628,0.7952677511439429,0.7468966655263686,0.6754837085525522,
1,Life expectancy,CO2 emissions per capita,0.5881902294479977,0.9348713314328719,0.8757440972271708,0.7823520095624381,0.7105265235737639,0.6772183607723266,0.634538400477525,0.5898657139623674,0.5638255812094921,
1,Life expectancy,Daily calorie supply per person,0.7573787548554587,0.4712861318542802,0.396088025795074,0.31950695036100935,0.23460168549336974,0.1756344196787886,0.11727252331445599,0.06585888992975734,0.02914530496786487,
1,Life expectancy,GDP per capita,0.7064875921434283,0.15695201330628986,0.09741527084900795,0.038299477940562786,0.002909474014518946,0.00018241684207706918,0.0,0.0,8.881784197001252e-16,
1,Life expectancy,"Measles, first dose (MCV1)",0.6384922160613616,0.5016787639566961,0.47146840620531455,0.446218676234314,0.41960691861231486,0.4129274722501223,0.3842900434903151,0.3704937469592651,0.3437041794895722,
1,Life expectancy,Polio (Pol3),0.6634302307649441,0.4484048847456523,0.4302949874044082,0.3909599129019441,0.3781656766181566,0.35219815743552485,0.33337533110387374,0.32576731340202586,0.3246714498067342,
1,Life expectancy,Tetanus (DTP3),0.6737705904041367,0.4559973176038524,0.42886832722768,0.4003194183556509,0.3935837144855759,0.38075881317857146,0.3658361481284198,0.35491717093153513,0.3475672120898184,
1,Life expectancy,Military expenditure (% of GDP),0.0746974118113048,0.22932511278370835,0.1944614237799365,0.1602285361942544,0.1119339320941638,0.09174015924978979,0.06527891270095179,0.0439761810500865,0.030639056457804566,
1,Life expectancy,Political regime,0.5357724393526976,,,,,,,,,0.3947120181411288
1,Life expectancy,"Population, total",0.0316967050324395,0.0,-8.881784197001252e-16,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,
1,Life expectancy,Share of the population using the Internet,0.6560429984877646,0.7413431835415156,0.7278621023745758,0.714633876369574,0.7010860259597455,0.6912631779005989,0.6790838137318238,0.6598097501056472,0.6348369468879745,
1,Life expectancy,Share of the population using at least basic sanitation,0.8669329254631596,1.2567032676983823,1.1321488406528564,1.0248126683172338,0.9798133180012049,0.9461818942514496,0.9181034187227053,0.8842433970976454,0.8575562683158653,
1,Life expectancy,Share of the labor force employed in agriculture,-0.7863827765360776,1.0448690036857073,0.9391706601776404,0.812988095566063,0.7616182855802419,0.7188179031649699,0.6943183125163715,0.6768179159970269,0.667925166760689,
