Code,Year,Share of the labor force employed in agriculture
BHR,2015,1.08
BHR,2016,1.04
BHR,2017,1.01
BHR,2018,0.97
BHR,2019,0.94
BGD,1991,69.51
BGD,1992,68.9
BGD,1993,68.12
BGD,1994,67.22
BGD,1995,66.03
BGD,1996,64.63
BGD,1997,64.86
BGD,1998,64.93
BGD,1999,64.94
BGD,2000,64.81
BGD,2001,62.39
BGD,2002,59.9
BGD,2003,57.19
BGD,2004,54.3
BGD,2005,51.17
BGD,2006,48.08
BGD,2007,47.85
BGD,2008,47.67
BGD,2009,47.53
BGD,2010,47.31
BGD,2011,46.55
BGD,2012,45.76
BGD,2013,45.01
BGD,2014,44.27
BGD,2015,43.46
BGD,2016,42.66
BGD,2017,40.6
BGD,2018,39.39
BGD,2019,38.3
BRB,1991,5.52
BRB,1992,6.24
BRB,1993,5.56
BRB,1994,5.31
BRB,1995,4.64
BRB,1996,5.27
BRB,1997,4.83
BRB,1998,4.44
BRB,1999,4.31
BRB,2000,4.23
BRB,2001,4.2
BRB,2002,4.04
BRB,2003,4.56
BRB,2004,3.41
BRB,2005,3.52
BRB,2006,3.61
BRB,2007,3.01
BRB,2008,2.78
BRB,2009,2.94
BRB,2010,2.84
BRB,2011,3.27
BRB,2012,2.78
BRB,2013,2.71
BRB,2014,2.72
BRB,2015,2.89
BRB,2016,2.86
BRB,2017,2.76
BRB,2018,2.7
BRB,2019,2.65
BLR,1991,15.1
BLR,1992,15.43
BLR,1993,15.52
BLR,1994,15.68
BLR,1995,15.89
BLR,1996,15.88
BLR,1997,15.69
BLR,1998,15.51
BLR,1999,15.38
BLR,2000,15.12
BLR,2001,14.72
BLR,2002,14.41
BLR,2003,13.97
BLR,2004,13.5
BLR,2005,12.99
BLR,2006,12.54
BLR,2007,12.07
BLR,2008,11.63
BLR,2009,11.35
BLR,2010,10.89
BLR,2011,10.59
BLR,2012,10.31
BLR,2013,10.14
BLR,2014,9.89
BLR,2015,9.7
BLR,2016,9.73
BLR,2017,10.7
BLR,2018,11.31
BLR,2019,11.06
BEL,1991,3
BEL,1992,2.9
BEL,1993,2.63
BEL,1994,2.89
BEL,1995,2.68
BEL,1996,2.75
BEL,1997,2.66
BEL,1998,2.24
BEL,1999,2.39
BEL,2000,1.91
BEL,2001,1.38
BEL,2002,1.79
BEL,2003,1.72
BEL,2004,2.22
BEL,2005,2.04
BEL,2006,1.95
BEL,2007,1.86
BEL,2008,1.55
BEL,2009,1.49
BEL,2010,1.35
BEL,2011,1.3
BEL,2012,1.17
BEL,2013,1.36
BEL,2014,1.22
BEL,2015,1.18
BEL,2016,1.25
BEL,2017,1.16
BEL,2018,0.99
BEL,2019,0.92
BLZ,1991,24.31
BLZ,1992,24.17
BLZ,1993,23.94
BLZ,1994,23.11
BLZ,1995,27.15
BLZ,1996,28.68
BLZ,1997,29.91
BLZ,1998,25.02
BLZ,1999,27.47
BLZ,2000,26.01
BLZ,2001,24.67
BLZ,2002,23.34
BLZ,2003,22
BLZ,2004,20.78
BLZ,2005,19.56
BLZ,2006,19.42
BLZ,2007,19.31
BLZ,2008,19.13
BLZ,2009,19.04
BLZ,2010,18.91
BLZ,2011,18.79
BLZ,2012,18.62
BLZ,2013,18.46
BLZ,2014,18.25
BLZ,2015,18.08
BLZ,2016,18.56
BLZ,2017,17.42
BLZ,2018,17.01
BLZ,2019,16.8
BEN,1991,50.9
BEN,1992,50.8
BEN,1993,50.64
BEN,1994,50.26
BEN,1995,50.06
BEN,1996,49.83
BEN,1997,49.51
BEN,1998,49.25
BEN,1999,48.85
BEN,2000,48.39
BEN,2001,47.91
BEN,2002,47.46
BEN,2003,47.07
BEN,2004,46.65
BEN,2005,46.32
BEN,2006,45.88
BEN,2007,45.34
BEN,2008,44.85
BEN,2009,44.45
BEN,2010,44.07
BEN,2011,43.61
BEN,2012,43.03
BEN,2013,42.27
BEN,2014,41.56
BEN,2015,41.08
BEN,2016,40.59
BEN,2017,39.87
BEN,2018,39.08
BEN,2019,38.27
BTN,1991,69.85
BTN,1992,69.64
BTN,1993,69.45
BTN,1994,69.2
BTN,1995,68.93
BTN,1996,68.53
BTN,1997,68.22
BTN,1998,67.92
BTN,1999,67.46
BTN,2000,66.78
BTN,2001,66.06
BTN,2002,65.3
BTN,2003,64.68
BTN,2004,64.01
BTN,2005,63.32
BTN,2006,62.8
BTN,2007,62.23
BTN,2008,61.73
BTN,2009,60.78
BTN,2010,59.6
BTN,2011,60.15
BTN,2012,58.35
BTN,2013,56.34
BTN,2014,56.65
BTN,2015,58
BTN,2016,57.22
BTN,2017,56.52
BTN,2018,56.12
BTN,2019,55.78
BOL,1991,42.46
BOL,1992,42.34
BOL,1993,42.15
BOL,1994,41.91
BOL,1995,41.58
BOL,1996,41.29
BOL,1997,41.23
BOL,1998,40.69
BOL,1999,39.95
BOL,2000,38.94
BOL,2001,44.2
BOL,2002,42.39
BOL,2003,35.09
BOL,2004,35.09
BOL,2005,38.61
BOL,2006,39.5
BOL,2007,36.1
BOL,2008,31.2
BOL,2009,30.09
BOL,2010,30
BOL,2011,29.79
BOL,2012,27.79
BOL,2013,29.23
BOL,2014,30.85
BOL,2015,27.85
BOL,2016,29.68
BOL,2017,30.49
BOL,2018,31.06
BOL,2019,30.54
BIH,1991,35.34
BIH,1992,35.26
BIH,1993,34.86
BIH,1994,33.78
BIH,1995,32.37
BIH,1996,30.27
BIH,1997,28.71
BIH,1998,27.31
BIH,1999,26.19
BIH,2000,25.23
BIH,2001,24.44
BIH,2002,23.45
BIH,2003,22.7
BIH,2004,22.1
BIH,2005,21.31
BIH,2006,20.55
BIH,2007,19.82
BIH,2008,20.58
BIH,2009,21.23
BIH,2010,19.7
BIH,2011,19.61
BIH,2012,20.56
BIH,2013,18.86
BIH,2014,17.08
BIH,2015,17.52
BIH,2016,17.96
BIH,2017,16.82
BIH,2018,15.73
BIH,2019,17.96
BWA,1991,15.9
BWA,1992,15.7
BWA,1993,15.66
BWA,1994,15.6
BWA,1995,15.26
BWA,1996,15.07
BWA,1997,17.76
BWA,1998,20.73
BWA,1999,20.32
BWA,2000,19.96
BWA,2001,20.49
BWA,2002,20.82
BWA,2003,21.22
BWA,2004,21.96
BWA,2005,22.66
BWA,2006,23.22
BWA,2007,23.77
BWA,2008,24.39
BWA,2009,25.09
BWA,2010,24.59
BWA,2011,24.06
BWA,2012,23.57
BWA,2013,22.86
BWA,2014,22.29
BWA,2015,21.9
BWA,2016,21.36
BWA,2017,20.88
BWA,2018,20.37
BWA,2019,19.9
BRA,1991,19.64
BRA,1992,19.75
BRA,1993,19.31
BRA,1994,18.69
BRA,1995,18.14
BRA,1996,17.1
BRA,1997,16.85
BRA,1998,16.2
BRA,1999,16.69
BRA,2000,16.49
BRA,2001,16.42
BRA,2002,16.53
BRA,2003,16.68
BRA,2004,17.14
BRA,2005,16.62
BRA,2006,15.62
BRA,2007,14.68
BRA,2008,13.85
BRA,2009,13.43
BRA,2010,12.66
BRA,2011,11.99
BRA,2012,11.47
BRA,2013,11.17
BRA,2014,10.34
BRA,2015,10.2
BRA,2016,10.14
BRA,2017,9.46
BRA,2018,9.26
BRA,2019,9.08
BRN,1991,2.03
BRN,1992,1.9
BRN,1993,1.78
BRN,1994,1.68
BRN,1995,1.56
BRN,1996,1.48
BRN,1997,1.41
BRN,1998,1.32
BRN,1999,1.27
BRN,2000,1.21
BRN,2001,1.13
BRN,2002,1.07
BRN,2003,1.02
BRN,2004,0.97
BRN,2005,0.92
BRN,2006,0.87
BRN,2007,0.81
BRN,2008,0.78
BRN,2009,0.73
BRN,2010,0.69
BRN,2011,0.65
BRN,2012,0.62
BRN,2013,0.58
BRN,2014,0.55
BRN,2015,0.74
BRN,2016,1.01
BRN,2017,1.36
BRN,2018,1.06
BRN,2019,1.95
BGR,1991,19.54
BGR,1992,19
BGR,1993,18.32
BGR,1994,17.49
BGR,1995,16.62
BGR,1996,15.6
BGR,1997,15.56
BGR,1998,14.32
BGR,1999,13.88
BGR,2000,13.2
BGR,2001,9.69
BGR,2002,10.71
BGR,2003,11.14
BGR,2004,10.75
BGR,2005,8.94
BGR,2006,8.11
BGR,2007,7.54
BGR,2008,7.47
BGR,2009,7.09
BGR,2010,6.82
BGR,2011,6.78
BGR,2012,6.44
BGR,2013,6.66
BGR,2014,7.01
BGR,2015,6.86
BGR,2016,6.75
BGR,2017,7.01
BGR,2018,6.58
BGR,2019,6.62
BFA,1991,89.78
BFA,1992,89.64
BFA,1993,89.42
BFA,1994,89.14
BFA,1995,88.07
BFA,1996,86.77
BFA,1997,85.4
