Code,Year,"Measles, first dose (MCV1)",Polio (Pol3),Tetanus (DTP3)
ESP,1999,95,95,95
ESP,2000,94,95,95
ESP,2001,96,95,96
ESP,2002,97,98,98
ESP,2003,98,99,98
ESP,2004,97,97,97
ESP,2005,97,96,96
ESP,2006,97,98,98
ESP,2007,97,96,96
ESP,2008,98,97,97
ESP,2009,98,96,96
ESP,2010,95,97,97
ESP,2011,97,97,97
ESP,2012,97,96,96
ESP,2013,95,96,96
ESP,2014,96,97,97
ESP,2015,96,97,97
ESP,2016,97,97,97
ESP,2017,98,95,95
ESP,2018,98,96,96
ESP,2019,98,95,95
ESP,2020,96,94,94
ESP,2021,95,93,93
ESP,2022,97,95,95
ESP,2023,96,93,93
ESP,2024,97,94,94
LKA,1980,,46,46
LKA,1981,,45,45
LKA,1982,,56,57
LKA,1983,,64,64
LKA,1984,3,65,66
LKA,1985,20,71,70
LKA,1986,45,75,75
LKA,1987,60,79,77
LKA,1988,68,85,83
LKA,1989,76,88,87
LKA,1990,80,86,86
LKA,1991,79,86,86
LKA,1992,82,88,88
LKA,1993,86,90,90
LKA,1994,84,89,88
LKA,1995,87,92,93
LKA,1996,89,92,92
LKA,1997,94,98,97
LKA,1998,94,94,94
LKA,1999,95,99,99
LKA,2000,99,99,99
LKA,2001,99,98,98
LKA,2002,99,98,98
LKA,2003,99,98,99
LKA,2004,96,97,97
LKA,2005,99,99,99
LKA,2006,99,98,98
LKA,2007,98,98,98
LKA,2008,98,98,98
LKA,2009,97,97,97
LKA,2010,99,99,99
LKA,2011,99,99,99
LKA,2012,99,99,99
LKA,2013,99,99,99
LKA,2014,99,99,99
LKA,2015,99,99,99
LKA,2016,99,99,99
LKA,2017,99,99,99
LKA,2018,99,99,99
LKA,2019,99,99,99
LKA,2020,96,96,96
LKA,2021,97,96,96
LKA,2022,99,98,98
LKA,2023,99,99,99
LKA,2024,99,97,97
SDN,1980,,1,1
SDN,1981,1,1,1
SDN,1982,1,2,2
SDN,1983,2,3,3
SDN,1984,3,4,4
SDN,1985,6,8,8
SDN,1986,11,14,14
SDN,1987,22,27,27
SDN,1988,44,41,40
SDN,1989,61,61,60
SDN,1990,57,62,62
SDN,1991,57,62,62
SDN,1992,52,53,53
SDN,1993,49,51,51
SDN,1994,48,46,46
SDN,1995,51,48,48
SDN,1996,59,56,56
SDN,1997,58,55,55
SDN,1998,49,48,46
SDN,1999,51,64,55
SDN,2000,58,62,62
SDN,2001,58,66,66
SDN,2002,58,60,60
SDN,2003,65,69,69
SDN,2004,67,74,74
SDN,2005,69,78,78
SDN,2006,73,77,78
SDN,2007,79,84,84
SDN,2008,79,85,86
SDN,2009,82,81,81
SDN,2010,90,90,90
SDN,2011,87,93,93
SDN,2012,85,92,92
SDN,2013,85,93,93
SDN,2014,86,94,94
SDN,2015,87,93,93
SDN,2016,87,93,93
SDN,2017,90,95,95
SDN,2018,88,93,93
SDN,2019,90,93,93
SDN,2020,86,90,90
SDN,2021,81,85,84
SDN,2022,80,85,84
SDN,2023,51,53,51
SDN,2024,46,40,39
SUR,1980,,24,25
SUR,1981,39,22,27
SUR,1982,17,53,61
SUR,1983,71,83,85
SUR,1984,75,79,80
SUR,1985,73,85,84
SUR,1986,78,80,80
SUR,1987,70,70,71
SUR,1988,83,71,64
SUR,1989,73,71,72
SUR,1990,65,81,83
SUR,1991,84,77,75
SUR,1992,61,71,74
SUR,1993,61,75,76
SUR,1994,72,71,74
SUR,1995,85,81,84
SUR,1996,87,84,85
SUR,1997,79,81,81
SUR,1998,82,90,90
SUR,1999,85,84,85
SUR,2000,84,70,71
SUR,2001,82,65,68
SUR,2002,73,74,73
SUR,2003,69,74,75
SUR,2004,86,84,85
SUR,2005,91,84,83
SUR,2006,83,84,84
SUR,2007,85,84,84
SUR,2008,86,85,85
SUR,2009,88,85,87
SUR,2010,87,94,94
SUR,2011,79,83,80
SUR,2012,64,79,76
SUR,2013,81,79,77
SUR,2014,70,76,71
SUR,2015,76,78,73
SUR,2016,76,77,77
SUR,2017,76,51,67
SUR,2018,77,81,81
SUR,2019,64,76,77
SUR,2020,45,51,51
SUR,2021,58,72,72
SUR,2022,74,78,77
SUR,2023,71,72,72
SUR,2024,73,72,69
SWE,1980,88,97,99
SWE,1981,92,98,99
SWE,1982,91,98,99
SWE,1983,93,98,99
SWE,1984,94,98,99
SWE,1985,94,98,99
SWE,1986,94,99,99
SWE,1987,94,99,99
SWE,1988,95,99,99
SWE,1989,95,99,99
SWE,1990,96,99,99
SWE,1991,96,99,99
SWE,1992,96,99,99
SWE,1993,97,99,99
SWE,1994,97,99,99
SWE,1995,97,99,99
SWE,1996,96,99,99
SWE,1997,96,99,99
SWE,1998,94,99,99
SWE,1999,89,99,99
SWE,2000,91,99,99
SWE,2001,94,99,99
SWE,2002,95,99,99
SWE,2003,95,99,99
SWE,2004,96,99,99
SWE,2005,96,98,98
SWE,2006,97,98,98
SWE,2007,96,98,98
SWE,2008,96,98,98
SWE,2009,97,98,98
SWE,2010,97,98,98
SWE,2011,97,98,98
SWE,2012,97,98,98
SWE,2013,97,98,98
SWE,2014,97,98,98
SWE,2015,98,98,98
SWE,2016,97,98,98
SWE,2017,97,97,97
SWE,2018,97,97,97
SWE,2019,97,98,98
SWE,2020,97,97,97
SWE,2021,97,98,98
SWE,2022,93,94,94
SWE,2023,93,94,94
SWE,2024,93,95,96
CHE,1986,70,98,90
CHE,1987,70,97,90
CHE,1988,70,95,90
CHE,1989,90,98,90
CHE,1990,90,98,90
CHE,1991,83,95,89
CHE,1992,83,95,89
CHE,1993,83,95,89
CHE,1994,83,95,89
CHE,1995,83,95,89
CHE,1996,83,95,89
CHE,1997,83,95,89
CHE,1998,81,92,88
CHE,1999,82,95,93
CHE,2000,82,95,93
CHE,2001,82,95,93
CHE,2002,82,95,93
CHE,2003,82,95,93
CHE,2004,82,95,93
CHE,2005,87,94,94
CHE,2006,87,94,94
CHE,2007,87,94,94
CHE,2008,92,96,95
CHE,2009,92,96,95
CHE,2010,92,96,95
CHE,2011,93,96,96
CHE,2012,93,96,96
CHE,2013,93,96,96
CHE,2014,94,96,96
CHE,2015,94,96,96
CHE,2016,94,96,96
CHE,2017,95,96,96
CHE,2018,95,96,96
CHE,2019,95,96,96
CHE,2020,97,96,97
CHE,2021,95,96,96
CHE,2022,96,96,96
CHE,2023,95,95,95
CHE,2024,96,96,96
SYR,1980,13,13,13
SYR,1981,14,14,14
SYR,1982,22,15,15
SYR,1983,19,21,21
SYR,1984,23,25,25
SYR,1985,27,29,29
SYR,1986,64,86,86
SYR,1987,37,42,42
SYR,1988,52,59,59
SYR,1989,86,94,94
SYR,1990,87,91,91
SYR,1991,84,89,89
SYR,1992,84,89,89
SYR,1993,86,90,90
SYR,1994,86,89,89
SYR,1995,85,89,89
SYR,1996,85,88,88
SYR,1997,84,87,87
SYR,1998,87,88,88
SYR,1999,86,87,87
SYR,2000,84,86,86
SYR,2001,80,83,83
SYR,2002,84,86,86
SYR,2003,83,85,85
SYR,2004,82,84,84
SYR,2005,81,83,83
SYR,2006,81,83,82
SYR,2007,81,83,82
SYR,2008,81,83,81
SYR,2009,82,83,81
SYR,2010,82,83,81
SYR,2011,80,60,72
SYR,2012,72,57,58
SYR,2013,69,60,54
SYR,2014,65,62,56
SYR,2015,64,60,54
SYR,2016,73,58,55
SYR,2017,78,63,61
SYR,2018,74,63,60
SYR,2019,76,70,67
SYR,2020,70,63,62
SYR,2021,70,62,61
SYR,2022,52,58,59
SYR,2023,74,66,66
SYR,2024,81,75,73
TJK,1992,68,61,72
TJK,1993,81,65,64
TJK,1994,73,80,81
TJK,1995,70,69,80
TJK,1996,79,77,75
TJK,1997,84,80,81
TJK,1998,83,82,79
TJK,1999,79,84,82
TJK,2000,88,86,83
TJK,2001,88,84,85
TJK,2002,89,84,85
TJK,2003,91,82,85
TJK,2004,92,82,86
TJK,2005,85,79,84
TJK,2006,82,76,83
TJK,2007,85,85,86
TJK,2008,86,87,86
TJK,2009,89,93,93
TJK,2010,94,95,93
TJK,2011,98,97,96
TJK,2012,97,96,94
TJK,2013,97,97,96
TJK,2014,98,94,97
TJK,2015,97,96,96
TJK,2016,97,97,96
TJK,2017,98,97,97
TJK,2018,98,96,96
TJK,2019,98,97,97
TJK,2020,98,97,97
TJK,2021,97,97,97
TJK,2022,98,97,97
TJK,2023,98,97,96
TJK,2024,98,97,97
TZA,1980,46,57,59
TZA,1981,51,46,55
TZA,1982,50,48,50
TZA,1983,60,49,52
TZA,1984,55,47,58
TZA,1985,66,64,67
TZA,1986,97,73,74
TZA,1987,78,80,79
TZA,1988,83,82,85
TZA,1989,79,66,77
TZA,1990,80,78,78
TZA,1991,79,81,81
TZA,1992,81,82,83
TZA,1993,77,78,83
TZA,1994,79,83,84
TZA,1995,78,79,81
TZA,1996,78,80,82
TZA,1997,73,79,79
TZA,1998,72,79,79
TZA,1999,72,74,76
TZA,2000,78,64,79
TZA,2001,86,65,87
TZA,2002,89,91,89
TZA,2003,97,97,95
TZA,2004,94,95,95
TZA,2005,91,91,90
TZA,2006,93,91,90
TZA,2007,90,88,83
TZA,2008,88,89,86
TZA,2009,91,88,85
TZA,2010,92,94,91
TZA,2011,93,88,90
TZA,2012,97,90,92
TZA,2013,99,91,91
TZA,2014,97,97,97
TZA,2015,95,93,96
TZA,2016,83,89,92
TZA,2017,90,89,90
TZA,2018,88,82,89
TZA,2019,89,87,91
TZA,2020,87,61,91
TZA,2021,80,64,86
TZA,2022,84,82,87
TZA,2023,84,80,83
TZA,2024,84,80,83
THA,1980,,19,49
THA,1981,,31,52
THA,1982,,39,49
THA,1983,,46,49
THA,1984,5,56,53
THA,1985,26,61,62
THA,1986,45,66,66
THA,1987,52,71,75
THA,1988,63,80,80
THA,1989,66,84,84
THA,1990,80,92,92
THA,1991,79,90,90
THA,1992,74,84,85
THA,1993,80,89,89
THA,1994,86,93,93
THA,1995,91,96,96
THA,1996,92,94,94
THA,1997,93,95,95
THA,1998,96,96,96
THA,1999,96,97,97
THA,2000,94,97,97
THA,2001,94,97,96
THA,2002,94,97,96
THA,2003,96,98,98
THA,2004,96,98,98
THA,2005,96,98,98
THA,2006,96,98,98
THA,2007,96,98,98
THA,2008,98,99,99
THA,2009,98,99,99
THA,2010,98,99,99
THA,2011,98,99,99
THA,2012,98,99,99
THA,2013,99,99,99
THA,2014,99,99,99
THA,2015,99,99,99
THA,2016,99,99,99
THA,2017,99,99,99
THA,2018,96,97,97
THA,2019,96,97,97
THA,2020,96,97,97
THA,2021,93,93,92
THA,2022,93,93,92
THA,2023,93,93,92
THA,2024,93,93,92
TGO,1981,,9,9
TGO,1982,,10,14
TGO,1983,,10,18
TGO,1984,11,11,11
TGO,1985,27,23,24
TGO,1986,43,35,37
TGO,1987,74,60,61
TGO,1988,62,54,54
TGO,1989,78,72,72
TGO,1990,73,76,77
TGO,1991,69,73,73
TGO,1992,64,69,69
TGO,1993,60,66,66
TGO,1994,57,62,62
TGO,1995,53,59,58
TGO,1996,48,53,50
TGO,1997,43,47,42
TGO,1998,40,43,42
TGO,1999,57,57,57
TGO,2000,58,63,64
TGO,2001,40,51,50
TGO,2002,48,58,59
TGO,2003,68,72,72
TGO,2004,70,71,71
TGO,2005,70,80,82
TGO,2006,78,85,84
TGO,2007,71,72,82
TGO,2008,63,80,81
TGO,2009,66,78,78
TGO,2010,68,83,83
TGO,2011,72,85,85
TGO,2012,72,84,84
TGO,2013,72,84,84
TGO,2014,77,82,84
TGO,2015,75,82,82
TGO,2016,73,81,82
TGO,2017,78,77,84
TGO,2018,73,60,82
TGO,2019,78,81,86
TGO,2020,75,85,85
TGO,2021,77,87,87
TGO,2022,79,82,86
TGO,2023,81,89,90
TGO,2024,81,89,90
TON,1980,,20,40
TON,1981,9,37,37
TON,1982,44,80,52
TON,1983,67,57,63
TON,1984,43,46,51
TON,1985,81,81,92
TON,1986,37,73,75
TON,1987,88,87,99
TON,1988,81,92,92
TON,1989,84,93,93
TON,1990,86,93,94
TON,1991,90,92,88
TON,1992,87,99,99
TON,1993,87,96,96
TON,1994,86,90,89
TON,1995,94,93,95
TON,1996,95,99,99
TON,1997,97,96,96
TON,1998,96,97,97
TON,1999,97,94,94
TON,2000,95,95,95
TON,2001,93,95,94
TON,2002,90,90,90
TON,2003,99,98,98
TON,2004,99,99,99
TON,2005,99,99,99
TON,2006,99,99,99
TON,2007,99,99,99
TON,2008,99,99,99
TON,2009,99,99,99
TON,2010,99,99,99
TON,2011,99,99,99
TON,2012,95,95,95
TON,2013,99,99,99
TON,2014,99,98,98
TON,2015,99,96,96
TON,2016,98,96,96
TON,2017,99,99,99
TON,2018,99,99,99
TON,2019,99,99,99
TON,2020,99,99,99
TON,2021,99,99,99
TON,2022,99,99,99
TON,2023,99,99,99
TON,2024,99,99,99
TTO,1980,,38,26
TTO,1981,,55,62
TTO,1982,,59,54
TTO,1983,,61,60
TTO,1984,10,66,65
TTO,1985,32,74,75
TTO,1986,42,71,70
TTO,1987,68,80,79
TTO,1988,72,83,82
TTO,1989,59,77,77
TTO,1990,70,87,82
TTO,1991,93,81,82
TTO,1992,83,87,87
TTO,1993,87,78,81
TTO,1994,86,85,85
TTO,1995,84,90,89
TTO,1996,88,90,89
TTO,1997,88,91,90
TTO,1998,90,91,91
TTO,1999,88,90,90
TTO,2000,90,90,90
TTO,2001,91,91,91
TTO,2002,87,96,96
TTO,2003,88,91,91
TTO,2004,95,94,94
TTO,2005,93,95,95
TTO,2006,89,89,92
TTO,2007,91,90,88
TTO,2008,91,91,90
TTO,2009,94,90,90
TTO,2010,92,91,90
TTO,2011,92,91,90
TTO,2012,85,91,92
TTO,2013,91,94,92
TTO,2014,96,94,92
TTO,2015,89,88,96
TTO,2016,86,91,97
TTO,2017,93,94,89
TTO,2018,90,99,99
TTO,2019,99,93,93
TTO,2020,91,93,96
TTO,2021,93,94,94
TTO,2022,92,93,93
TTO,2023,90,96,96
TTO,2024,96,92,92
TUN,1982,43,,
TUN,1983,42,62,62
TUN,1984,55,66,66
TUN,1985,65,70,70
TUN,1986,67,72,72
TUN,1987,81,84,84
TUN,1988,87,91,91
TUN,1989,93,93,93
TUN,1990,93,93,93
TUN,1991,94,93,93
TUN,1992,94,95,95
TUN,1993,92,94,94
TUN,1994,91,93,93
TUN,1995,91,94,94
TUN,1996,92,95,95
TUN,1997,92,96,96
TUN,1998,94,96,96
TUN,1999,90,99,99
TUN,2000,95,97,97
TUN,2001,92,98,98
TUN,2002,94,96,96
TUN,2003,90,95,95
TUN,2004,95,97,97
TUN,2005,96,98,98
TUN,2006,98,99,99
TUN,2007,98,98,98
TUN,2008,98,99,99
TUN,2009,98,99,99
TUN,2010,97,98,98
TUN,2011,96,98,98
TUN,2012,96,97,97
TUN,2013,94,98,98
TUN,2014,98,98,98
TUN,2015,98,98,98
TUN,2016,96,98,98
TUN,2017,98,98,98
TUN,2018,96,97,97
TUN,2019,98,98,98
TUN,2020,98,97,97
TUN,2021,95,97,97
TUN,2022,95,97,97
TUN,2023,96,97,97
TUN,2024,96,96,97
TUR,1980,27,63,42
TUR,1981,52,69,64
TUR,1982,64,61,58
TUR,1983,63,59,56
TUR,1984,62,57,56
TUR,1985,61,55,55
TUR,1986,64,45,45
TUR,1987,67,86,86
TUR,1988,82,86,86
TUR,1989,71,79,79
TUR,1990,78,84,84
TUR,1991,73,72,72
TUR,1992,78,77,77
TUR,1993,72,76,76
TUR,1994,76,91,87
TUR,1995,65,67,67
TUR,1996,72,73,72
TUR,1997,79,79,79
TUR,1998,81,81,81
TUR,1999,82,79,79
TUR,2000,87,85,85
TUR,2001,91,88,88
TUR,2002,83,78,78
TUR,2003,75,69,68
TUR,2004,81,85,85
TUR,2005,91,90,90
TUR,2006,98,90,90
TUR,2007,96,96,96
TUR,2008,97,96,96
TUR,2009,97,96,96
TUR,2010,97,97,97
TUR,2011,98,97,97
TUR,2012,96,97,97
TUR,2013,98,98,98
TUR,2014,94,96,96
TUR,2015,97,97,97
TUR,2016,98,98,98
TUR,2017,96,96,96
TUR,2018,96,98,98
TUR,2019,97,99,99
TUR,2020,95,98,98
TUR,2021,96,95,95
TUR,2022,95,99,99
TUR,2023,95,99,99
TUR,2024,95,99,99
TKM,1992,76,91,84
TKM,1993,84,92,73
TKM,1994,90,94,90
TKM,1995,92,96,93
TKM,1996,98,98,97
TKM,1997,99,99,98
TKM,1998,99,99,99
TKM,1999,97,98,98
TKM,2000,96,98,97
TKM,2001,98,94,95
TKM,2002,88,99,98
TKM,2003,97,66,83
TKM,2004,97,98,97
TKM,2005,99,99,99
TKM,2006,99,98,98
TKM,2007,99,98,98
TKM,2008,99,96,96
TKM,2009,99,97,96
TKM,2010,99,96,96
TKM,2011,99,97,97
TKM,2012,99,98,97
TKM,2013,99,98,98
TKM,2014,99,98,98
TKM,2015,99,99,99
TKM,2016,99,98,98
TKM,2017,99,99,99
TKM,2018,99,99,99
TKM,2019,99,99,99
TKM,2020,98,99,98
TKM,2021,97,97,97
TKM,2022,98,98,98
TKM,2023,99,98,98
TKM,2024,99,98,98
TUV,1980,,23,36
TUV,1981,,44,49
TUV,1982,,79,72
TUV,1983,65,83,79
TUV,1984,71,74,37
TUV,1985,92,97,52
TUV,1986,65,73,73
TUV,1987,65,59,59
TUV,1988,90,91,89
TUV,1989,79,66,85
TUV,1990,95,84,99
TUV,1991,63,71,74
TUV,1992,66,86,70
TUV,1993,64,86,80
TUV,1994,79,95,99
TUV,1995,94,85,87
TUV,1996,94,92,97
TUV,1997,99,80,77
TUV,1998,96,78,94
TUV,1999,94,84,83
TUV,2000,81,82,82
TUV,2001,99,96,96
TUV,2002,99,98,98
TUV,2003,95,93,93
TUV,2004,97,98,98
TUV,2005,62,99,93
TUV,2006,84,97,97
TUV,2007,95,97,97
TUV,2008,93,99,99
TUV,2009,90,85,88
TUV,2010,85,89,89
TUV,2011,98,96,96
TUV,2012,98,97,97
TUV,2013,96,90,90
TUV,2014,94,89,89
TUV,2015,94,96,96
TUV,2016,96,94,94
TUV,2017,95,96,96
TUV,2018,88,89,89
TUV,2019,96,92,92
TUV,2020,93,90,95
TUV,2021,93,87,94
TUV,2022,90,90,91
TUV,2023,98,94,94
TUV,2024,97,94,94
UGA,1981,22,8,9
UGA,1982,21,9,12
UGA,1983,20,11,14
UGA,1984,18,12,14
UGA,1985,17,13,14
UGA,1986,27,21,21
UGA,1987,38,30,30
UGA,1988,49,38,38
UGA,1989,51,42,42
UGA,1990,52,45,45
UGA,1991,54,49,49
UGA,1992,56,52,53
UGA,1993,57,56,56
UGA,1994,59,59,60
UGA,1995,57,58,59
UGA,1996,55,57,57
UGA,1997,54,55,56
UGA,1998,50,50,48
UGA,1999,55,54,50
UGA,2000,57,55,52
UGA,2001,59,56,55
UGA,2002,62,57,57
UGA,2003,64,57,59
UGA,2004,66,58,62
UGA,2005,68,59,64
UGA,2006,75,62,64
UGA,2007,75,70,73
UGA,2008,70,69,71
UGA,2009,77,78,79
UGA,2010,73,79,80
UGA,2011,75,79,82
UGA,2012,80,79,83
UGA,2013,83,78,84
UGA,2014,85,78,85
UGA,2015,79,85,89
UGA,2016,79,88,93
UGA,2017,83,90,94
UGA,2018,86,88,93
UGA,2019,87,92,93
UGA,2020,89,88,89
UGA,2021,90,91,91
UGA,2022,90,90,89
UGA,2023,90,89,91
UGA,2024,90,89,91
UKR,1992,90,89,88
UKR,1993,94,91,93
UKR,1994,96,96,97
UKR,1995,97,97,98
UKR,1996,92,99,99
UKR,1997,97,99,99
UKR,1998,96,98,98
UKR,1999,99,98,99
UKR,2000,99,99,99
UKR,2001,99,99,99
UKR,2002,99,99,99
UKR,2003,99,99,97
UKR,2004,99,99,99
UKR,2005,96,95,96
UKR,2006,98,99,98
UKR,2007,97,98,98
UKR,2008,94,91,90
UKR,2009,75,74,71
UKR,2010,56,57,52
UKR,2011,67,54,50
UKR,2012,79,72,76
UKR,2013,79,72,76
UKR,2014,56,45,23
UKR,2015,56,51,23
UKR,2016,42,56,19
UKR,2017,86,48,50
UKR,2018,91,71,69
UKR,2019,93,78,80
UKR,2020,85,84,81
UKR,2021,89,78,78
UKR,2022,74,69,73
UKR,2023,92,85,83
UKR,2024,91,88,88
ARE,1980,34,11,11
ARE,1981,42,45,45
ARE,1982,41,46,43
ARE,1983,51,50,50
ARE,1984,53,59,59
ARE,1985,60,74,76
ARE,1986,67,77,78
ARE,1987,71,80,80
ARE,1988,74,82,82
ARE,1989,78,85,84
ARE,1990,80,85,85
ARE,1991,82,85,85
ARE,1992,85,86,86
ARE,1993,90,90,90
ARE,1994,90,90,90
ARE,1995,90,90,90
ARE,1996,90,90,90
ARE,1997,95,92,92
ARE,1998,95,94,94
ARE,1999,96,94,94
ARE,2000,94,94,94
ARE,2001,94,94,94
ARE,2002,94,94,94
ARE,2003,94,94,94
ARE,2004,94,94,94
ARE,2005,92,94,94
ARE,2006,92,94,92
ARE,2007,92,94,92
ARE,2008,92,94,92
ARE,2009,93,94,93
ARE,2010,94,94,94
ARE,2011,95,95,95
ARE,2012,96,96,96
ARE,2013,98,98,98
ARE,2014,99,99,99
ARE,2015,99,99,99
ARE,2016,99,99,99
ARE,2017,99,96,97
ARE,2018,99,99,99
ARE,2019,99,95,99
ARE,2020,99,80,90
ARE,2021,99,96,96
ARE,2022,98,95,96
ARE,2023,98,96,96
ARE,2024,98,95,96
GBR,1980,53,81,41
GBR,1981,55,82,46
GBR,1982,58,84,53
GBR,1983,60,84,59
GBR,1984,63,84,65
GBR,1985,68,95,65
GBR,1986,71,85,67
GBR,1987,76,87,73
GBR,1988,80,87,75
GBR,1989,84,89,78
GBR,1990,87,92,84
GBR,1991,90,93,88
GBR,1992,92,95,92
GBR,1993,91,95,93
GBR,1994,91,95,93
GBR,1995,92,96,94
GBR,1996,92,96,94
GBR,1997,91,92,92
GBR,1998,87,91,91
GBR,1999,88,92,92
GBR,2000,88,91,91
GBR,2001,85,91,91
GBR,2002,85,91,91
GBR,2003,82,91,91
GBR,2004,81,92,92
GBR,2005,82,91,91
GBR,2006,85,92,92
GBR,2007,86,92,92
GBR,2008,86,92,92
GBR,2009,86,93,93
GBR,2010,89,94,94
GBR,2011,90,95,95
GBR,2012,92,95,95
GBR,2013,93,95,95
GBR,2014,93,95,95
GBR,2015,93,95,95
GBR,2016,92,94,94
GBR,2017,92,94,94
GBR,2018,92,94,94
GBR,2019,91,93,93
GBR,2020,91,93,93
GBR,2021,91,93,93
GBR,2022,90,92,92
GBR,2023,90,92,92
GBR,2024,89,92,92
USA,1980,86,95,96
USA,1981,97,96,96
USA,1982,97,97,96
USA,1983,98,97,97
USA,1984,98,97,97
USA,1985,97,96,96
USA,1986,97,97,97
USA,1987,82,97,97
USA,1988,98,97,97
USA,1989,94,91,94
USA,1990,90,85,90
USA,1991,87,78,86
USA,1992,83,72,83
USA,1993,84,79,88
USA,1994,89,84,94
USA,1995,88,88,95
USA,1996,91,91,95
USA,1997,91,91,96
USA,1998,92,91,96
USA,1999,92,90,96
USA,2000,91,90,94
USA,2001,91,89,94
USA,2002,91,90,94
USA,2003,93,91,96
USA,2004,93,92,96
USA,2005,92,92,96
USA,2006,92,93,96
USA,2007,92,93,96
USA,2008,92,94,96
USA,2009,90,93,95
USA,2010,92,93,95
USA,2011,92,94,96
USA,2012,91,93,94
USA,2013,92,93,94
USA,2014,92,93,95
USA,2015,92,93,95
USA,2016,92,94,95
USA,2017,91,92,94
USA,2018,92,93,94
USA,2019,90,93,94
USA,2020,91,92,93
USA,2021,92,93,94
USA,2022,92,93,94
USA,2023,92,93,94
USA,2024,92,93,94
,1980,12,19,13
,1981,15,18,15
,1982,15,62,16
,1983,56,62,48
,1984,61,66,59
,1985,71,70,65
,1986,60,65,68
,1987,69,73,69
,1988,82,85,82
,1989,83,85,83
,1990,87,87,86
,1991,85,86,86
,1992,83,85,84
,1993,81,84,83
,1994,78,84,83
,1995,81,82,81
,1996,84,85,83
,1997,85,86,84
,1998,86,87,85
,1999,87,88,86
,2000,87,87,86
,2001,87,87,87
,2002,86,87,86
,2003,86,88,86
,2004,87,88,87
,2005,87,88,87
,2006,91,91,90
,2007,91,92,91
,2008,93,94,93
,2009,93,95,94
,2010,93,94,94
,2011,94,94,94
,2012,94,94,95
,2013,94,94,95
,2014,94,94,93
,2015,94,94,93
,2016,95,92,93
,2017,93,93,93
,2018,94,93,93
,2019,93,93,91
,2020,90,88,88
,2021,89,86,86
,2022,91,90,91
,2023,89,90,90
,2024,90,89,89
URY,1980,50,59,53
URY,1981,55,60,57
URY,1982,52,72,67
URY,1983,65,77,73
URY,1984,66,80,62
URY,1985,59,58,63
URY,1986,82,64,70
URY,1987,88,85,85
URY,1988,72,82,82
URY,1989,82,88,88
URY,1990,97,97,97
URY,1991,96,96,96
URY,1992,93,93,93
URY,1993,90,92,92
URY,1994,90,91,91
URY,1995,90,91,91
URY,1996,89,91,91
URY,1997,92,91,91
URY,1998,96,91,91
URY,1999,99,93,93
URY,2000,89,92,90
URY,2001,94,94,94
URY,2002,95,93,95
URY,2003,95,91,91
URY,2004,95,95,94
URY,2005,95,96,96
URY,2006,94,95,95
URY,2007,96,94,94
URY,2008,95,94,94
URY,2009,94,95,95
URY,2010,95,95,95
URY,2011,95,95,95
URY,2012,96,95,95
URY,2013,96,95,95
URY,2014,96,95,95
URY,2015,96,95,95
URY,2016,95,95,95
URY,2017,96,93,93
URY,2018,97,91,91
URY,2019,96,93,94
URY,2020,95,91,92
URY,2021,93,90,91
URY,2022,96,94,94
URY,2023,96,95,95
URY,2024,97,94,94
UZB,1992,84,85,90
UZB,1993,82,46,45
UZB,1994,71,79,67
UZB,1995,91,99,87
UZB,1996,95,97,95
UZB,1997,96,98,96
UZB,1998,95,99,99
UZB,1999,96,99,99
UZB,2000,99,99,99
UZB,2001,99,99,99
UZB,2002,97,99,99
UZB,2003,99,99,98
UZB,2004,98,99,99
UZB,2005,99,99,99
UZB,2006,98,94,96
UZB,2007,98,98,96
UZB,2008,98,98,98
UZB,2009,95,99,98
UZB,2010,98,99,99
UZB,2011,99,99,99
UZB,2012,99,99,99
UZB,2013,97,99,99
UZB,2014,99,99,99
UZB,2015,99,99,99
UZB,2016,99,99,99
UZB,2017,99,99,99
UZB,2018,96,98,98
UZB,2019,98,98,96
UZB,2020,99,97,95
UZB,2021,99,99,98
UZB,2022,99,99,99
UZB,2023,99,99,99
UZB,2024,99,87,90
VUT,1982,20,17,22
VUT,1983,23,18,27
VUT,1984,18,27,28
VUT,1985,26,27,30
VUT,1986,22,31,31
VUT,1987,34,53,56
VUT,1988,46,58,58
VUT,1989,50,70,61
VUT,1990,66,78,76
VUT,1991,63,82,83
VUT,1992,66,78,77
VUT,1993,74,87,86
VUT,1994,53,74,74
VUT,1995,60,74,73
VUT,1996,61,68,67
VUT,1997,65,67,72
VUT,1998,64,67,72
VUT,1999,62,67,71
VUT,2000,61,67,71
VUT,2001,60,67,70
VUT,2002,58,67,70
VUT,2003,57,67,69
VUT,2004,56,67,69
VUT,2005,54,67,68
VUT,2006,53,67,68
VUT,2007,56,69,70
VUT,2008,62,70,73
VUT,2009,65,72,75
VUT,2010,71,74,77
VUT,2011,75,75,79
VUT,2012,80,77,82
VUT,2013,84,78,84
VUT,2014,90,80,86
VUT,2015,76,80,80
VUT,2016,84,81,81
VUT,2017,80,83,85
VUT,2018,75,85,85
VUT,2019,80,90,90
VUT,2020,78,76,78
VUT,2021,50,62,62
VUT,2022,70,68,68
VUT,2023,70,71,72
VUT,2024,61,65,71
VEN,1980,50,95,56
VEN,1981,43,75,54
VEN,1982,45,76,53
VEN,1983,42,77,58
VEN,1984,41,59,33
VEN,1985,56,59,49
VEN,1986,48,64,58
VEN,1987,54,61,57
